eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
3,2,2,EEG3,ESG2,EMG2,0.09091,0.5,0.0454545
7,5,2,EEG7,ESG5,EMG2,0.09091,0.5,0.0454545
0,5,2,EEG0,ESG5,EMG2,0.08333,0.5,0.0416667
0,2,2,EEG0,ESG2,EMG2,0.08333,0.5,0.0416667
1,5,2,EEG1,ESG5,EMG2,0.08333,0.5,0.0416667
1,2,2,EEG1,ESG2,EMG2,0.08333,0.5,0.0416667
4,5,2,EEG4,ESG5,EMG2,0.08333,0.5,0.0416667
5,2,2,EEG5,ESG2,EMG2,0.08333,0.5,0.0416667
6,5,2,EEG6,ESG5,EMG2,0.08333,0.5,0.0416667
6,2,2,EEG6,ESG2,EMG2,0.08333,0.5,0.0416667
