Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS001,0,Left Knee Flexion,27,0,2,EEG27,ESG0,EMG2,0.0024075924884527,0.0089500555768609,2.1548086578085336e-05,T8,T10T11-L,L-RF,no,YES
NIS001,0,Left Knee Flexion,25,3,2,EEG25,ESG3,EMG2,0.0023757722228765,0.0081312609836459,1.931802398190581e-05,T7,L1L2-L,L-RF,YES,YES
NIS001,0,Left Knee Flexion,27,3,2,EEG27,ESG3,EMG2,0.0021873342338949,0.0081312609836459,1.778578551426299e-05,T8,L1L2-L,L-RF,YES,YES
NIS001,0,Left Knee Flexion,25,6,2,EEG25,ESG6,EMG2,0.0022279708646237,0.0076253991574049,1.6989167153824876e-05,T7,T11T12-C,L-RF,no,YES
NIS001,0,Left Knee Flexion,27,6,2,EEG27,ESG6,EMG2,0.0020512558985501,0.0076253991574049,1.5641645000426165e-05,T8,T11T12-C,L-RF,no,YES
NIS001,0,Left Knee Flexion,25,1,2,EEG25,ESG1,EMG2,0.0020363428629934,0.006969538051635,1.4192369069808464e-05,T7,T11T12-L,L-RF,no,YES
NIS001,0,Left Knee Flexion,25,2,2,EEG25,ESG2,EMG2,0.0020312077831476,0.0069519630633294,1.4120881482390072e-05,T7,T12L1-L,L-RF,YES,YES
NIS001,0,Left Knee Flexion,26,3,2,EEG26,ESG3,EMG2,0.0016737648984417,0.0081312609836459,1.3609819214495324e-05,Cz2,L1L2-L,L-RF,YES,YES
NIS001,0,Left Knee Flexion,24,3,2,EEG24,ESG3,EMG2,0.0016456017037853,0.0081312609836459,1.338081692861114e-05,PO4,L1L2-L,L-RF,YES,YES
NIS001,0,Left Knee Flexion,27,1,2,EEG27,ESG1,EMG2,0.0018748271977528,0.006969538051635,1.3066679494979057e-05,T8,T11T12-L,L-RF,no,YES
NIS001,1,Left Plantar Flexion,15,3,1,EEG15,ESG3,EMG1,0.0016034460859373,0.0098949065431952,1.586594916740201e-05,C6,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,20,3,1,EEG20,ESG3,EMG1,0.0014772760914638,0.0098949065431952,1.4617508863531688e-05,Pz,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,27,3,1,EEG27,ESG3,EMG1,0.0013695603702217,0.0098949065431952,1.3551671868607942e-05,T8,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,11,3,1,EEG11,ESG3,EMG1,0.0013474794104695,0.0098949065431952,1.3333182835475847e-05,C1,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,26,3,1,EEG26,ESG3,EMG1,0.0013363189063966,0.0098949065431952,1.3222750690699506e-05,Cz2,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,21,3,1,EEG21,ESG3,EMG1,0.0012833278160542,0.0098949065431952,1.2698408804139418e-05,P4,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,6,3,1,EEG6,ESG3,EMG1,0.0012431648792698,0.0098949065431952,1.2301000298158243e-05,FC3,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,0,3,1,EEG0,ESG3,EMG1,0.0011669173836708,0.0098949065431952,1.1546538455052546e-05,Fp1,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,16,3,1,EEG16,ESG3,EMG1,0.0011614201357588,0.0098949065431952,1.1492143700718631e-05,CP3,L1L2-L,R-MH,YES,no
NIS001,1,Left Plantar Flexion,25,3,1,EEG25,ESG3,EMG1,0.0011076250812038,0.0098949065431952,1.095984666341142e-05,T7,L1L2-L,R-MH,YES,no
NIS001,2,Right Knee Flexion,10,13,2,EEG10,ESG13,EMG2,0.0012380505213513,0.0066316719166934,8.210344873893743e-06,C3,L1L2-R,L-RF,YES,no
NIS001,2,Right Knee Flexion,2,13,2,EEG2,ESG13,EMG2,0.0011340727796778,0.0066316719166934,7.520798604475798e-06,Fp2,L1L2-R,L-RF,YES,no
NIS001,2,Right Knee Flexion,19,13,2,EEG19,ESG13,EMG2,0.0009843438165262,0.0066316719166934,6.527845244427876e-06,P3,L1L2-R,L-RF,YES,no
NIS001,2,Right Knee Flexion,12,13,2,EEG12,ESG13,EMG2,0.0009839279809966,0.0066316719166934,6.525087559624491e-06,Cz,L1L2-R,L-RF,YES,no
NIS001,2,Right Knee Flexion,10,1,2,EEG10,ESG1,EMG2,0.0010408480884507,0.0055753486230969,5.803090956796862e-06,C3,T11T12-L,L-RF,no,no
NIS001,2,Right Knee Flexion,27,1,2,EEG27,ESG1,EMG2,0.0010379218729212,0.0055753486230969,5.786776285073903e-06,T8,T11T12-L,L-RF,no,no
NIS001,2,Right Knee Flexion,7,1,2,EEG7,ESG1,EMG2,0.0010182550176978,0.0055753486230969,5.6771267108830445e-06,FCz,T11T12-L,L-RF,no,no
NIS001,2,Right Knee Flexion,2,1,2,EEG2,ESG1,EMG2,0.0009534324053674,0.0055753486230969,5.315718048481662e-06,Fp2,T11T12-L,L-RF,no,no
NIS001,2,Right Knee Flexion,5,13,2,EEG5,ESG13,EMG2,0.0007842739578336,0.0066316719166934,5.201047581159424e-06,F4,L1L2-R,L-RF,YES,no
NIS001,2,Right Knee Flexion,0,13,2,EEG0,ESG13,EMG2,0.0007531890878453,0.0066316719166934,4.994902921824195e-06,Fp1,L1L2-R,L-RF,YES,no
NIS001,3,Right Plantar Flexion,2,1,1,EEG2,ESG1,EMG1,0.0021430561318993,0.0071162926033139,1.525061449992194e-05,Fp2,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,10,1,1,EEG10,ESG1,EMG1,0.0020802274812012,0.0071162926033139,1.48035074376831e-05,C3,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,25,1,1,EEG25,ESG1,EMG1,0.0019926691893488,0.0071162926033139,1.4180417013014536e-05,T7,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,27,1,1,EEG27,ESG1,EMG1,0.0019319023704156,0.0071162926033139,1.3747982548913368e-05,T8,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,6,1,1,EEG6,ESG1,EMG1,0.0017218656139448,0.0071162926033139,1.225329953241617e-05,FC3,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,26,1,1,EEG26,ESG1,EMG1,0.0017208103090524,0.0071162926033139,1.224578967401642e-05,Cz2,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,5,1,1,EEG5,ESG1,EMG1,0.0016339988214895,0.0071162926033139,1.1628013727189488e-05,F4,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,2,13,1,EEG2,ESG13,EMG1,0.0018616935703903,0.0061819916591048,1.1508974123962184e-05,Fp2,L1L2-R,R-MH,YES,no
NIS001,3,Right Plantar Flexion,24,1,1,EEG24,ESG1,EMG1,0.0015791225014254,0.0071162926033139,1.1237497776620474e-05,PO4,T11T12-L,R-MH,no,no
NIS001,3,Right Plantar Flexion,10,13,1,EEG10,ESG13,EMG1,0.0018071135273203,0.0061819916591048,1.1171560752949747e-05,C3,L1L2-R,R-MH,YES,no
NIS002,0,Left Knee Flexion,26,2,2,EEG26,ESG2,EMG2,0.0030059760902076,0.0111994501203298,3.366527928518525e-05,Cz2,T12L1-L,L-RF,YES,YES
NIS002,0,Left Knee Flexion,27,0,2,EEG27,ESG0,EMG2,0.0027956336271017,0.0112260691821575,3.138397650581052e-05,T8,T10T11-L,L-RF,no,YES
NIS002,0,Left Knee Flexion,27,2,2,EEG27,ESG2,EMG2,0.0027890044730156,0.0111994501203298,3.123531648091581e-05,T8,T12L1-L,L-RF,YES,YES
NIS002,0,Left Knee Flexion,26,3,2,EEG26,ESG3,EMG2,0.0028908106032758,0.0107703739777207,3.113511129604189e-05,Cz2,L1L2-L,L-RF,YES,YES
NIS002,0,Left Knee Flexion,27,3,2,EEG27,ESG3,EMG2,0.0026821515057235,0.0107703739777207,2.8887774781549908e-05,T8,L1L2-L,L-RF,YES,YES
NIS002,0,Left Knee Flexion,26,5,2,EEG26,ESG5,EMG2,0.0027141221798956,0.0101120807230472,2.7445422575317693e-05,Cz2,T10T11-C,L-RF,no,YES
NIS002,0,Left Knee Flexion,26,6,2,EEG26,ESG6,EMG2,0.0026891457382589,0.0100190257653594,2.694262043842293e-05,Cz2,T11T12-C,L-RF,no,YES
